Model,Accuracy,Precision,Recall,F1 Score,ROC_AUC
Extra Trees,0.8722222222222221,0.8083333333333333,0.11691358024691359,0.20153831463422006,0.8473030883179666
Gradient Boosting,0.8763888888888889,0.6499913068675747,0.2787037037037037,0.3866199366805512,0.8416500415847039
XGBoost,0.8690972222222222,0.5748702651076882,0.2537962962962963,0.35121783131846734,0.8390008181174549
Random Forest,0.8725694444444445,0.7252380952380952,0.14929012345679013,0.24532144554141805,0.8360119272549268
Logistic Regression,0.871875,0.5715673721336006,0.32595679012345674,0.4136111129202315,0.8330333816560668
Decision Tree,0.8131944444444444,0.34106613224360804,0.3657716049382716,0.35270200080657166,0.6257833260924659
